"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-28.7285098175205,14.4931382368168,-1.98221457272392,0.0488313921925886
"total.s",0.34095450296266,0.120269523122396,2.83492022010995,0.00505677227655846
"total.b",1.03254595895151,0.353099070351112,2.92423867875034,0.00385345777692563
"total.s:total.b",-0.00755136418644262,0.00290153383677685,-2.60254217639282,0.00994991674876107
